"text-light 2","air3-link","air3-link href","job-tile-info-list","job-tile-info-list 2","mr-1","job-tile-info-list 3","mb-0","highlight-color","air3-token","air3-token 2","air3-token 3","air3-token 4","air3-token 5","air3-token 6","highlight"
"7 hours ago","Automate Jotform Quiz Results + Custom Email Workflow Using Existing HTML Filter Logic","https://www.upwork.com/jobs/Automate-Jotform-Quiz-Results-Custom-Email-Workflow-Using-Existing-HTML-Filter-Logic_~021917362446551481389/?referrer_url_path=/nx/search/jobs/","Hourly: $20.00 - $40.00","Intermediate","Est. time:","1 to 3 months, Less than 30 hrs/week","Description:

Hi! I run a custom spray tanning business and need help automating a currently manual process.

Here’s what’s happening now:
	•	Clients take a Jotform quiz to analyze their skin tone and preferences.
	•	A team member manually copies the answers into a custom-coded HTML quiz embedded on our Squarespace site.
	•	That HTML quiz runs a filter to determine the best tanning mousse blend (based on skin undertones, Fitzpatrick scale, etc.).
	•	The team then manually copies the quiz result into a Gmail email template and sends it to the client.

What I want:

I need a developer to help me automate this entire workflow:
	1.	Set up a webhook to receive form data when a Jotform quiz is submitted.
	2.	Extract and replicate the filtering logic currently used in our HTML (on Squarespace) into backend code (Node.js, , or similar).
	3.	Automatically generate a personalized result from that logic based on the quiz answers.
	4.	Inject those results into a pre-designed HTML email template (branded and formatted).
	5.	Send the email to the client using Gmail (Google API or Apps Script preferred) or a transactional email service like SendGrid or Mailgun.

Ideal Skills:
	•	JavaScript or  (Node.js preferred)
	•	Jotform Webhooks / API
	•	Email templating and delivery (Gmail API, SendGrid, Mailgun, etc.)
	•	Experience working with low-code sites like Squarespace
	•	Basic understanding of filtering logic or survey processing

Bonus:
	•	Ability to build in basic logging or reporting
	•	Create a branded PDF of the results as an attachment (optional)

I’m looking for someone reliable, collaborative, and experienced with workflow automation. I can provide the HTML filter code, sample Jotform data, and the current Gmail email template.

Please include examples of similar work if you have any. Looking to get started ASAP. Must sign NDA","","API Integration","JavaScript","HTML","Zapier","Automation","WordPress","Python"
"7 hours ago","GStreamer + RKNN Edge Video Pipeline Expert for Advanced Recording System (Orange Pi + AWS/R2)","https://www.upwork.com/jobs/GStreamer-RKNN-Edge-Video-Pipeline-Expert-for-Advanced-Recording-System-Orange-AWS_~021917406441356656591/?referrer_url_path=/nx/search/jobs/","Hourly: $15.00 - $25.00","Expert","Est. time:","1 to 3 months, Less than 30 hrs/week","We are building a high-performance edge video recording pipeline on the Orange Pi 5 Ultra, capturing and segmenting multi-view RTSP streams (wide + PTZ) for sports analytics. The streams are processed in real time using GStreamer, Rockchip MPP, and RKNN AI acceleration, with output segments pushed to the cloud. We are looking for an expert to own and finalize the entire pipeline setup and stabilization.
This is a project-based role for a self-driven expert who can confidently take over an already functional but complex GStreamer setup and resolve key performance, reliability, and automation gaps.

✅ Responsibilities:
	•	Compile, configure, and optimize GStreamer with full Rockchip MPP and hardware acceleration support on Orange Pi
	•	Setup and validate RKNN Toolkit for AI processing (e.g., ball/player tracking), including model loading and inference
	•	Configure and maintain multi-pipeline GStreamer RTSP ingestion with splitmuxsink, PIP overlays, and synchronized segmenting
	•	Optimize performance to ensure stable frame rates, no dropped frames, and minimal resource conflicts (e.g., from PTZ lag)
	•	Build out file queue management and safe-upload system to AWS S3, ensuring no file loss or duplication
	•	Implement crash-safe design: auto-resume recording on reboot or failure
	•	Handle advanced negative scenarios, like stream stalls, encoder hangs, and segment recovery
	•	Refactor pipeline so SIGINT or manual stop gracefully finalizes incomplete .ts segments without corruption
	•	Integrate synchronization strategies across cropped quadrant views and the PTZ stream
	•	(Optional but valued) Help integrate RKNN-based real-time inference into overlay streams

🧠 Ideal Skills:
	•	Expert-level GStreamer knowledge, especially splitmuxsink, compositor, queue, and encoding/decoding pipelines
	•	Deep experience compiling and debugging Rockchip MPP, gstreamer-rockchip, and RKNN Toolkit
	•	Familiarity with RTSP, rtspsrc, and latency management
	•	Strong Linux embedded system experience, esp. ARM SBCs like Orange Pi / Raspberry Pi
	•	Practical handling of AWS SDK or AWS CLI for file uploads and state monitoring
	•	Comfort working with real-time systems, handling synchronization, buffering, and recovery strategies
	•	Bash scripting, logging, and minimal  if needed for process watchdogs or segment verification
	•	Bonus: Experience with AI overlays, PIP management, or live compositing with videomixer / compositor

🧩 What We Provide:
	•	SSH access to a fully setup Orange Pi 5 Ultra on live test streams
	•	All current scripts, segment directories, and error logs
	•	Clear documentation of what’s working and what’s not
	•	Collaborative support as needed (we’re technical, but need a domain expert to lead finalization)

💼 Engagement Scope:
	•	Short-term contract (est. 2–4 weeks) with well-defined deliverables
	•	Fully remote, async-friendly
	•	Possible future work for scaling across multiple venues/devices","","Video Stream","Linux System Administration","FFmpeg","Linux","GStreamer","","Python"
"8 hours ago","Update AI Voice Agent with Medical API + 3D Avatar Replacement","https://www.upwork.com/jobs/Update-Voice-Agent-with-Medical-API-Avatar-Replacement_~021917401766186169942/?referrer_url_path=/nx/search/jobs/","Fixed price","Intermediate","Est. budget:","$50.00","I have a fully functional AI voice agent that:
-Converts voice to text
-Sends the text to OpenAI API
-Returns and speaks the response as voice
-Includes lip-syncing with a 3D avatar
-Works in English and French
   https://app.digicopy.me/
Now, I want to update it with the following changes:

* TASKS:
Language Update:
Restrict the system to English only
Medical Agent Integration:
Pull patient data from a medical API
Input that data into OpenAI
The agent should respond based on that patient-specific data
3D Avatar Replacement:
Replace the current avatar with a female avatar from a provided video

Deployment:
Deploy the updated system to the cloud for testing
💡 REQUIREMENTS:
Must have prior experience with voice AI agents, OpenAI integration, 3D avatars, and cloud deployment
You must list 2 relevant past projects
If you don’t have prior experience, please do not apply
Must be able to start immediately

⭐ Bonus: 5-star rating for quality delivery

Please start your application with the word ""MEDAGENT"" to confirm you've read the full post.
Looking forward to working with someone experienced and fast!","Python","3D Modeling","Web Development","API","Artificial Intelligence","","",""
"8 hours ago","Automate Web Search Info and Data Reporting","https://www.upwork.com/jobs/Automate-Web-Search-Info-and-Data-Reporting_~021917401465125064874/?referrer_url_path=/nx/search/jobs/","Hourly","Expert","Est. time:","Less than 1 month, Less than 30 hrs/week","Automate the process of running a search on a specific website to gather data that changes daily.  Create a script or other automation to report the data results in an Excel sheet and allow me to manually trigger the search to run each day (or less often, as needed).

The goal is to quickly get updates on campsite availability for just a few specific sites at a specific campground.  This might sound silly but I take it very seriously!   The page runs hidden JSON endpoint WebTrac.  There are certain constraints which make it very tedious and nearly impossible to easily search for available dates for specific campsites.

The top two ways I was looking to do this was with either Microsoft Power Automate with Excel export, or browser scraping with a  script via pandas dataframe to excel.  I am not a programmer, but I did my best to scope the project needs via LLM Q&A, which you'll find in the project attachment 

Please feel welcome to reach out with your questions or send your proposal for the job with a different method as you see fit. On a side note there are other things I would like to automate in my life and my work, and preference will go to someone who can possibly teach me to do this using non-programming tools or some very basic Excel/ tools.

Constraints:  
•	Short-term stays (1-3 nights) are available only within 30 days of arrival
•	Minimum 4-night stay required for reservations made 30+ days in advance
•	Using a Windows pc
•	Maximum stay of 7 nights
•	constrain the search to specific campsites with the drop-down to select a Site Search (keyword).

Goal: collect data on the availability, for only these specific requested campsites (230, 234, 236, 238, 240, 242, 244, 246, 248, 250, 252, 254, 256, 258, 260, 262, 264, 266, 268, 270) only in Smith Point Park (one of many parks on the drop-down menu)

Results:  Format the collected data in a spreadsheet covering a specific date range (example; 5/1/25 through 12/31/25) showing each single date available and each single date Unavailable, for the specific campsite numbers listed, in Smith Point Park.   

Site: https://nysuffolkctyweb.myvscloud.com/webtrac/web/search.html?Module=RN&Type=FamilySite&webscreendesign=webtrac%20screen%20design&Display=Detail&_csrf_token=nc0R116X09032B2X1X3L2M4D5U5Z4Z570R5J5Q5D4U045O4L5B541A71605B62074X4N6E56735T4N6N570C6W4O5G6I6V705A5566065M4L6K57095R4J6M6E0758604L","Python Script","Microsoft Power Automate","Data Scraping","","","","","Python"
"8 hours ago","Full Stack Engineers Wanted For Ad Benchmarking Web App Development","https://www.upwork.com/jobs/Full-Stack-Engineers-Wanted-For-Benchmarking-Web-App-Development_~021917399061545603242/?referrer_url_path=/nx/search/jobs/","Fixed price","Intermediate","Est. budget:","$2,500.00","Project Overview:

We are looking for a skilled full-stack developer or development team to build an ad performance benchmarking platform. The application will securely integrate user authentication, ingest and anonymize advertising data from platforms like Meta (initially), and display benchmark analytics and reporting through dynamic, user-friendly UI.

Key Features & User Stories:

- Authentication
- Create user accounts with email/password and Google OAuth.
- Securely authenticate Meta accounts via OAuth to access advertising data.
- Manage locked/unlocked platform features based on authentication status.

Data Ingestion

- Securely collect and anonymize ad account performance data via Meta’s Marketing API.
- Validate, store, and aggregate anonymized data for benchmarks without exposing identifiable information.

Ad Account Metadata

- Collect user-input metadata to enhance benchmark accuracy (industry, country, campaign objectives).

Categorization

- Dynamic benchmark filtering by industry, sub-vertical, company size, country, campaign objective, and date range.
- Real-time benchmark updates based on selected filters.

Benchmark Reporting

- Interactive dashboard comparing user metrics (CPM, CTR, CPC) with industry benchmarks.
- Historical benchmark trend visualization with dynamic line charts.
- Multi-metric support allowing users to switch comparison metrics seamlessly.

Credits & Subscription Management

- Implement a credit system incentivizing users to contribute anonymized data.
- Subscription payment integration via Stripe or similar (for users opting out of data sharing).

Onboarding

- Interactive onboarding for new users, guiding platform setup and feature use.

Admin Tools

- Admin notifications for critical system alerts and ingestion errors via email or in-app notifications.

Technical Requirements:

- Backend: Secure API development (Node.js/ preferred), Meta Marketing API integration, OAuth integration, scalable database management (PostgreSQL, MongoDB).
- Frontend: React/Vue.js preferred, dynamic charting libraries (Chart.js, D3.js).
- Infrastructure: Secure cloud hosting (AWS/GCP), data encryption, CloudWatch for monitoring.

Security & Privacy: Data anonymization, secure authentication practices, GDPR compliance.

Deliverables:

- Fully functional web platform as per listed features
- Well-documented codebase and API
- Deployment to production environment

Timeline & Budget:

- Estimated timeline: 6-8 weeks (negotiable)

Budget: Final budget TBD

Application Instructions:

1. Provide relevant experience, portfolio, and case studies.
2. Describe your proposed technical stack and architecture approach.
3. Outline your timeline, milestones and estimated cost for completion.

We look forward to your application and discussing how you can contribute to making this project successful!","Python","Node.js","MongoDB","PostgreSQL","Vue.js","React","Google Cloud Platform","Python"
"8 hours ago","Prompt Engineer for AI Orchestrator Development","https://www.upwork.com/jobs/Prompt-Engineer-for-Orchestrator-Development_~021917398662487685872/?referrer_url_path=/nx/search/jobs/","Hourly","Intermediate","Est. time:","1 to 3 months, Less than 30 hrs/week","We are seeking a skilled Prompt Engineer to join our team and contribute to the development of an AI orchestrator utilizing technologies such as OpenAI, Claude, Llama, Gemini, Deepseek, and xAI. The ideal candidate will have experience in creating effective prompts to enhance AI performance and user interaction. You will collaborate closely with our engineering team to optimize AI responses and ensure seamless integration across platforms. If you are passionate about AI and have a strong technical background, we encourage you to apply.","Python","Artificial Intelligence","Machine Learning","JavaScript","Artificial Neural Network","","",""
"8 hours ago","Mobile Web App Development for AR Implant Smile Preview","https://www.upwork.com/jobs/Mobile-Web-App-Development-for-Implant-Smile-Preview_~021917397758631477199/?referrer_url_path=/nx/search/jobs/","Hourly","Intermediate","Est. time:","1 to 3 months, Not sure","Smile Try-On is a mobile-first, browser-based web application that lets prospective dental-implant patients preview a photorealistic new smile in seconds and, in the process, converts them into high-value, HIPAA-secure leads for dentists. After submitting their name, email, and phone number, visitors receive a one-time SMS link that opens an in-browser experience where they can either grant live-camera access or upload a centered selfie. An on-device computer-vision engine maps the user’s lips, gumline, and incisal edges—never altering skin tone or other facial features—and then aligns a full-arch implant overlay rendered with WebGL/Three.js. A smooth before/after slider lets patients compare their current teeth with the simulated result in real time; with one tap the system saves the composite image, emails or texts it back to the user, and posts the lead’s data to the dentist’s CRM via webhook. Behind the scenes, a Node.js (or ) API stores protected health information in an encrypted PostgreSQL database and selfies in an S3-compatible object store, all wrapped in TLS 1.3, AES-256-at-rest encryption, and Business Associate Agreements with every vendor to ensure full HIPAA compliance. A secure admin console allows each practice to upload new smile templates, track funnel metrics, set automatic image-purge rules, and export CSV leads. Deployed with Docker, GitHub Actions, and Terraform on a HIPAA-eligible cloud, the platform can be white-labeled and rolled out to hundreds of practices via a single embeddable script—delivering an emotionally compelling try-before-you-buy experience for patients and a steady stream of ready-to-schedule implant leads for dentists.","","JavaScript","Graphic Design","Web Development","Android","Adobe Photoshop","Next.js","Python"
"8 hours ago","Build Level 3 AI Agent for Maintenance Company | CRM, Scheduling, and Automation Expert Needed","https://www.upwork.com/jobs/Build-Level-Agent-for-Maintenance-Company-CRM-Scheduling-and-Automation-Expert-Needed_~021917397530450835030/?referrer_url_path=/nx/search/jobs/","Hourly","Expert","Est. time:","1 to 3 months, 30+ hrs/week","Company Overview
We’re a fast-growing property services business that provides plumbing, electrical, handyman, and turnover solutions to landlords and property managers. We're organized, growth-focused, and ready to implement advanced automation through AI.

Project Overview
We're looking for an AI automation expert or agency to help architect and deploy a Level 3 intelligent agent to manage and optimize core business operations including scheduling, CRM integration, customer and contractor coordination, and accounts receivable follow-up.

Scope of Work
You’ll be responsible for designing and implementing an autonomous operations assistant that can:

Coordinate with clients and contractors through integrated messaging platforms

Manage job scheduling and dispatch workflows

Analyze and act on data from platforms like our CRM and financial tools

Trigger automated follow-ups, reminders, and workflow logic based on system events

Act as a smart assistant for our internal team to reference SOPs or escalate exceptions

Monitor accounts receivable and automate collection workflows

Integrate with platforms using webhooks, APIs, or LLM-based reasoning agents

Tools You Should Know
OpenAI (GPT-4 or newer), LangChain, LLM-based agents

Zapier, Make, or similar automation builders

API integrations with CRMs and job management platforms

Experience integrating third-party communication APIs (no direct names)

Airtable, Notion, or similar for structured internal data

(Bonus) HuggingFace, Pinecone, or vector-based document systems

Ideal Candidate Profile
You:

Have built AI-powered agents or bots that handle real-world business workflows

Are skilled at API integration, workflow logic, and CRM automation

Understand how to build scalable, reliable automation with human fallback

Communicate clearly and provide proactive updates

Are comfortable working directly with a business owner and thinking strategically","","Customer Relationship Management","","","","","",""
"8 hours ago","AI Developer – Firestop Construction Takeoff Automation & UL Assembly Matching","https://www.upwork.com/jobs/Developer-Firestop-Construction-Takeoff-Automation-Assembly-Matching_~021917395354263212202/?referrer_url_path=/nx/search/jobs/","Hourly: $40.00 - $75.00","Intermediate","Est. time:","1 to 3 months, Less than 30 hrs/week","Project Overview:
We are a specialty trade contractor in the construction industry, focused on firestopping for commercial buildings. We’re seeking a developer or small team to build an AI-powered tool that can:

Analyze construction drawings (PDF, CAD, or Revit files)

Detect firestop-related elements (penetrations through rated walls, slab joints, etc.)

Match penetrations and joints to UL-rated firestop assemblies based on material, size, wall type, etc.

Output a report of matched assemblies with quantities and (optionally) cost/labor estimates.

This tool will help automate takeoffs and ensure code-compliant firestopping across large-scale projects.

📌 Key Deliverables:
AI model (or rules engine) that identifies penetrations and joint locations from architectural and MEP drawings.

Classification engine that matches each object to a UL firestop system based on user-defined rules (pipe size/type, wall rating, annular space, etc.).

User interface or output method: CSV/Excel report with:

Location/Sheet/Detail

Assigned UL system

Penetration type and material

Quantity

Optional: Pricing integration (materials/labor) from predefined templates.

🧠 Ideal Skills:
Experience in computer vision, object detection, or OCR for construction drawings

Strong in , OpenCV, PyTorch or TensorFlow

Familiarity with PDF/CAD plan parsing (e.g., PDFMiner, AutoCAD APIs, Autodesk Forge)

Understanding of construction documents, especially architectural and MEP plans

Bonus: Experience with UL firestop systems, CSI Division 7, or building code compliance

📁 Input Assets Provided:
Sample construction drawings (PDF format)

Annotated examples (penetration types and matched UL systems)

Sample firestop material cost/labor database (Excel)

UL system matching logic (rule-based examples)

🧪 Deliverable Phases:
Phase 1 – Proof of Concept (2–3 weeks):

Detect penetrations and joints on 5–10 sample plans

Apply matching logic to assign UL assemblies

Output Excel/CSV report

Phase 2 – Full Tool Build (4–6 weeks):

Improve recognition accuracy

Expand system to include labor/material integration

Build export and light UI (if needed)

📬 To Apply:
Please share:

Examples of relevant AI/vision/OCR work

Your experience with construction documents or plan takeoffs

Proposed approach to building this model

Estimated hours or cost to develop a proof of concept","Python","OCR Software","Construction Estimating","","","","","Python"
"8 hours ago","Custom GPT Chatbot + CRM & API Integration + Backend Data Matching Tool (WordPress Template)","https://www.upwork.com/jobs/Custom-GPT-Chatbot-CRM-API-Integration-Backend-Data-Matching-Tool-WordPress-Template_~021917393975058616490/?referrer_url_path=/nx/search/jobs/","Hourly: $15.00 - $35.00","Intermediate","Est. time:","1 to 3 months, Less than 30 hrs/week","We are seeking a capable developer or team to help us integrate a custom GPT-powered chatbot into a WordPress website template we will provide. The chatbot should guide users through complex inquiry flows and connect with a CRM system, automation tools, and a light backend data utility.

This is not a low-code or plugin-only task—we’re building a secure, modular solution with real business logic.

Project Scope Includes:
1. Chatbot Development & Integration
- Deploy a GPT-powered (OpenAI or similar) chatbot within a WordPress template
- Implement scripted flows to guide users through decision-making processes
- Create a responsive and branded chat experience

2. CRM Integration (Zoho Bigin)
- Route chatbot interactions and user inputs to CRM records
- Auto-tag and organize leads by product/service type
- Sync with workflow tools like Zapier for routing and reminders

3. Telephony/VoIP Integration
- Enable CRM or chatbot-triggered communication with a system like Telzio
- Log interactions and tie records to user/contact profiles
- Provide user interaction logs and optional call actions

4. External API Integration
- Set up authenticated API connections to pull reference data (OAuth2 or API Key)
- Format and insert this data into chatbot responses or forms
- Manage this securely in a staging environment before deployment

5. Backend File Matching Utility
- Build a secure internal-facing tool that allows authorized users to:
  - Upload two spreadsheets or structured data files (e.g., CSV, XLSX)
  - Cross-compare them using pre-defined matching rules (e.g., date, ID, description)
  - Identify overlaps or relationships between the two data sets
  - Export matched data as a downloadable file or view in dashboard
Ideal Experience:
- WordPress customization and plugin/API work
- Familiarity with GPT/OpenAI integrations and prompt handling
- Zoho Bigin CRM setup and field customization
- Zapier workflows and automations
- VoIP platform integrations (e.g., Telzio or Twilio)
- Backend scripting (Node.js or  preferred) for file processing
- Security-first development approach for sensitive user/admin data
Confidentiality Notice:
This project involves proprietary workflows and sensitive integrations. All candidates will be required to sign a Non-Disclosure Agreement (NDA) before receiving full project materials and credentials.
Timeline:
Estimated 6–8 weeks total, with milestone-based collaboration
To Apply:
Please share:
- Relevant chatbot or API-based project examples
- Your preferred tech stack for backend utilities
- General timeline and availability
- Hourly or project-based estimate","Python","API","API Integration","API Development","JSON","Automation","","Python"
"8 hours ago","Image Downloading Task: Collect 100 Images","https://www.upwork.com/jobs/Image-Downloading-Task-Collect-100-Images_~021917394119074512847/?referrer_url_path=/nx/search/jobs/","Hourly: $3.00 - $4.00","Entry Level","Est. time:","Less than 1 month, Less than 30 hrs/week","We are seeking a detail-oriented freelancer to find and download 100 specific images for our project. The selected candidate will need to ensure that the images are high quality and relevant to our specified criteria. Attention to detail and the ability to work efficiently are crucial for this task. If you are skilled in image searching and downloading, we would love to hear from you!","Python","Data Entry","Accuracy Verification","Data Scraping","Administrative Support","","",""
"8 hours ago","Embedded Systems Engineer for Motion Simulator (CAN Integration)","https://www.upwork.com/jobs/Embedded-Systems-Engineer-for-Motion-Simulator-CAN-Integration_~021917393923701906663/?referrer_url_path=/nx/search/jobs/","Hourly","Expert","Est. time:","Less than 1 month, Less than 30 hrs/week","We are seeking an embedded systems engineer or software developer with experience in motion simulator integration, specifically working with CAN communication protocols. The ideal candidate should have a strong background in hardware-software communication, real-time motion control, and low-level programming for embedded systems.

Job:
	•	Develop software to interface with CAN-based motion control system.
	•	Implement efficient data transmission protocols for real-time motion feedback.
	•	Troubleshoot and optimize communication between controllers, actuators, and sensors.
	•	Write well-documented, optimized code for embedded systems and motion hardware.
	•	(Optional) Assist in developing a basic user interface for monitoring and control (if applicable).

Requirements:
	•	Proficiency in embedded programming (C, C++, ).
	•	Strong understanding of CAN protocols, including error handling.
	•	Experience with motion simulators, robotics, or industrial automation.
	•	Familiarity with microcontrollers, motor drivers, and real-time systems.
	•	Ability to debug hardware-software communication issues.

Nice to Have (Optional but Beneficial):
	•	Experience with motion control software (SimTools, FlyPT, or custom applications).
	•	Ability to develop a basic UI/dashboard (if a frontend interface is needed).

What We’re NOT Looking For:

This is not a full-stack web development role. We’re focused on hardware integration and motion control software development, not frontend/backend web applications.

Budget:

Open to negotiation based on experience.

If you have relevant experience, please apply with details about your past projects, experience with CAN, and any prior work in motion control systems.","","Embedded System","Motion Controller","Microcontroller","Robotics","CAN Bus","","Python"
"8 hours ago","Chat GPT Prompt Engineer Needed","https://www.upwork.com/jobs/Chat-GPT-Prompt-Engineer-Needed_~021917393278447910863/?referrer_url_path=/nx/search/jobs/","Hourly: $15.00 - $35.00","Intermediate","Est. time:","1 to 3 months, 30+ hrs/week","We are seeking a skilled Chat GPT Prompt Engineer who has experience in writing custom GPTs and a deep understanding of large language models (LLMs). The ideal candidate will demonstrate expertise in crafting effective prompts and developing rigid guidelines to optimize functionality. If you have a proven track record in utilizing AI for conversational purposes and can deliver innovative solutions, we want to hear from you. Please provide examples of your previous work in this area.","Python","ChatGPT","ChatGPT API Integration","Machine Learning","JavaScript","Java","Node.js",""
"9 hours ago","Fix .nas Mesh Display Issue in MSC Marc","https://www.upwork.com/jobs/Fix-nas-Mesh-Display-Issue-MSC-Marc_~021917389108906807466/?referrer_url_path=/nx/search/jobs/","Fixed price","Intermediate","Est. budget:","$65.00","We have a .nas format finite element mesh file containing 11 elements.

In MSC Marc's ""Outline"" mode, the 11th element is not displaying correctly. The problematic .nas file includes 30 nodes and 11 elements.

Figure 1: Complete mesh

Figure 2: Missing outline of element 11

I'm looking for a  script to correct the display issue in this .nas file.

Payment: $65","Python","Finite Element Modeling","Finite Element Analysis Software","","","","","Python"
"9 hours ago","Desarrollo de Chatbot para Respuestas Basadas en Documentos","https://www.upwork.com/jobs/Desarrollo-Chatbot-para-Respuestas-Basadas-Documentos_~021917388561679169269/?referrer_url_path=/nx/search/jobs/","Hourly","Intermediate","Est. time:","1 to 3 months, Less than 30 hrs/week","Busco un desarrollador de chatbot que pueda crear una solución capaz de responder preguntas de los usuarios utilizando información de documentos que proporcionaré. El chatbot debe ser intuitivo y efectivo, asegurando que las respuestas sean precisas y estén basadas en el contenido específico que se le brinde. Se valorará experiencia previa en desarrollo de chatbots y comprensión de procesamiento de lenguaje natural (NLP).","","Chatbot Integration","Castilian Spanish","","","","",""
"9 hours ago","Full Stack Developer Needed for Next.js & Tailwind CSS Project","https://www.upwork.com/jobs/Full-Stack-Developer-Needed-for-Next-Tailwind-CSS-Project_~021917386585918053607/?referrer_url_path=/nx/search/jobs/","Hourly: $15.00 - $20.00","Intermediate","Est. time:","1 to 3 months, Less than 30 hrs/week","We are seeking a skilled full stack developer with expertise in Next.js, Tailwind CSS, TypeScript, and generative AI. The ideal candidate will be responsible for developing a web application that utilizes these technologies to generate and display images dynamically. You should have a strong understanding of both front-end and back-end development and be able to work independently to deliver high-quality solutions. If you have a passion for innovative tech and a keen eye for detail, we'd love to hear from you!","Python","Next.js","TypeScript","React","Web Development","Node.js","Vue.js",""
"9 hours ago","Build Serverless Function to Automate Linked Listings & Calendar Lock-Off on Hostaway (Using API)","https://www.upwork.com/jobs/Build-Serverless-Function-Automate-Linked-Listings-Calendar-Lock-Off-Hostaway-Using-API_~021917387936058048463/?referrer_url_path=/nx/search/jobs/","Hourly: $15.00 - $35.00","Intermediate","Est. time:","1 to 3 months, Less than 30 hrs/week","Looking for a developer to build a serverless function (e.g., on Pipedream, AWS Lambda, or similar) that automates the creation of ""linked listings"" in Hostaway. When a new reservation is made on one unit in a group (e.g., entire home vs. split units), the script should block off the calendar of the other linked units to prevent double bookings.
Must use Hostaway API
Should support mutual lock-off between 5+ listings in a complex relationship structure
Function needs to run on new bookings and booking modifications
Should be deployable on a low-maintenance, serverless platform like Pipedream
Bonus if it logs or notifies when action is taken
Please include examples of past API automation work. Experience with Hostaway is a big plus!","Python","API","AWS Lambda","","","","",""
"9 hours ago","Full Stack Developer with Next.js and Generative AI Expertise","https://www.upwork.com/jobs/Full-Stack-Developer-with-Next-and-Generative-Expertise_~021917386370741869799/?referrer_url_path=/nx/search/jobs/","Hourly: $15.00 - $35.00","Intermediate","Est. time:","1 to 3 months, Less than 30 hrs/week","We are seeking a skilled full stack developer with expertise in Next.js, Tailwind CSS, TypeScript, and Supabase, along with a strong understanding of generative AI technologies. The ideal candidate will be responsible for developing and maintaining our web applications, ensuring a seamless user experience. You will collaborate with our team to implement innovative solutions and enhance the functionality of our platforms. If you are passionate about cutting-edge technology and have a proven track record in full stack development, we would love to hear from you.","Python","Next.js","TypeScript","Node.js","Generative AI","JavaScript","React",""
"9 hours ago","Web Developer Needed for Real-Time Public Bus Tracking System","https://www.upwork.com/jobs/Web-Developer-Needed-for-Real-Time-Public-Bus-Tracking-System_~021917387451296895146/?referrer_url_path=/nx/search/jobs/","Hourly: $15.00 - $35.00","Intermediate","Est. time:","1 to 3 months, Less than 30 hrs/week","We are seeking a skilled web developer to create an interactive website that enables users to view real-time location updates for public buses and plan their trips efficiently (possibly using GTFS feeds and Geotab GPS located based data). 

The ideal candidate will have experience in integrating mapping services and real-time data feeds to provide users with accurate information and seamless navigation. If you have a strong portfolio showcasing similar projects, we would love to hear from you!

--Important--
Will be reaching out to candidates between Apr 30th - May 2nd, 2025.","Python","CSS 3","React","Angular","Firebase Realtime Database","JavaScript","Web Development",""
"9 hours ago","Full-Stack Engineer Needed: React, NodeJS, and  Expertise","https://www.upwork.com/jobs/Full-Stack-Engineer-Needed-React-NodeJS-and-span-class-highlight-Python-span-Expertise_~021917386989890174927/?referrer_url_path=/nx/search/jobs/","Hourly","Intermediate","Est. time:","1 to 3 months, Less than 30 hrs/week","We are seeking a skilled full-stack engineer with strong experience in React, NodeJS, and  to join our dynamic team. The ideal candidate will be responsible for developing and maintaining web applications, ensuring a seamless user experience, and collaborating with our design and product teams. If you are passionate about building scalable solutions and have a knack for problem-solving, we would love to hear from you.","","React","Node.js","JavaScript","API","MongoDB","","Python"
"9 hours ago","AI Engineer with RAG Experience Needed","https://www.upwork.com/jobs/Engineer-with-RAG-Experience-Needed_~021917386310905928935/?referrer_url_path=/nx/search/jobs/","Hourly","Intermediate","Est. time:","1 to 3 months, Less than 30 hrs/week","We are seeking an experienced AI Engineer with a strong background in Retrieval-Augmented Generation (RAG) to join our team. The ideal candidate will have hands-on experience in developing AI models that utilize external knowledge sources to enhance generative capabilities. You will work on innovative projects that require a blend of data science and machine learning expertise. If you possess a passion for AI and a track record of success in RAG implementations, we want to hear from you!","Python","Artificial Intelligence","Machine Learning","Adobe Illustrator","Data Science","","",""
"9 hours ago","Integrate 128 slot sim bank with Asterisk to grab call logs","https://www.upwork.com/jobs/Integrate-128-slot-sim-bank-with-Asterisk-grab-call-logs_~021917384952328920295/?referrer_url_path=/nx/search/jobs/","Fixed price","Expert","Est. budget:","$3,000.00","Looking for an expert Asterisk developer to set up a 128 sim bank (probably from Dynstar, but open to suggestions). 128 sims would need to interact with Asterisk to make incoming calls using our voip providers, to the sims. From the sims, we need to sniff the call logs for 'spam' status. We have stir shaken certificate for call signing. We would post in json to the application layer, the API would then initiate the calls to each sim (carrier specific) and return back the call log status (spam likely, potential spam, any cnam, etc)....

If you have an easier way to do this we will take suggestions also","Python","Asterisk","VoIP","VoIP Administration","Telecommunications Engineering","","",""
