"text-light 2","air3-link","air3-link href","job-tile-info-list","job-tile-info-list 2","mr-1","job-tile-info-list 3","mb-0","highlight","highlight 2","highlight 3","highlight 4","highlight 5","highlight-color","air3-token","air3-token 2","air3-token 3","air3-token 4","highlight-color 2","air3-token 5","air3-token 6","air3-token 7","highlight 6","highlight 7"
"1 hour ago","Full-Stack Developer Needed to Build AI SaaS for African Businesses (No-Code + GPT + WhatsApp)","https://www.upwork.com/jobs/Full-Stack-Developer-Needed-Build-SaaS-for-African-Businesses-Code-GPT-WhatsApp_~021917553810131636394/?referrer_url_path=/nx/search/jobs/","Hourly: $25.00 - $47.00","Expert","Est. time:","1 to 3 months, Less than 30 hrs/week","Title: Full-Stack Developer Needed to Build AI SaaS for African Businesses (No-Code + AI)

Description:

We’re creating AfriOps AI — a business automation platform for African small and medium-sized enterprises. The MVP will include invoicing, simple AI-powered bookkeeping, and messaging automation.

We need a full-stack developer or no-code expert who can:

Build a clean, mobile-friendly dashboard

Connect AI APIs for financial summaries and automation

Automate invoice delivery via messaging tools

Set up secure payments using regional payment processors

Preferred Tools:

No-code tools (Bubble, Webflow)

AI APIs (e.g., OpenAI)

Automation platforms (e.g., Zapier or similar)

Experience with payment integrations (e.g., Stripe, Flutterwave)

Bonus if you have:

Built SaaS tools before

Experience with mobile-first dashboards

Worked with or understand African SME environments

💰 Budget: $1,500 – $3,000
📈 Equity opportunity for long-term collaboration

To Apply: Please include:

Examples of similar SaaS tools or dashboards you’ve built

Your preferred development tools

Estimated time to deliver the MVP

Let’s build a powerful solution to empower African businesses.","","","","","","Web Development","","","","","Web Design","","","","",""
"1 hour ago","Full Stack Developer – Social Media Personality App (Mobile First)","https://www.upwork.com/jobs/Full-Stack-Developer-Social-Media-Personality-App-Mobile-First_~021917549516216121077/?referrer_url_path=/nx/search/jobs/","Hourly","Intermediate","Est. time:","1 to 3 months, Less than 30 hrs/week","Project Brief: Full Stack Developer – Social Media Personality App (Mobile First)

Overview

First in a line of development work on our portfolio. We’re building a lightweight, mobile-first social media  app that uses facial analysis to identify personality traits and display results. The app connects to a neural network via API, and stores and retrieves user data from a PostgreSQL database. It is a fully responsive  app with mobile first design. The layout and navigation has already been fully developed in Figma by our UX / UI expert.

We are looking for: 

A bright, enthusiastic and driven coding partner! Someone who knows their stuff, can deliver at pace and isn't afraid to challenge our assumptions based on their experience. 

•	A full-stack dev with strong frontend + API experience
•	Comfortable working solo, shipping clean code but also able to work with cutting edge AI technology and our fast-paced team.
•	Experienced with responsive/mobile-first apps
•	Bonus if you’ve worked with ML, facial recognition, or personality prediction

Objective
Create a fully responsive   that:
•	Captures a user’s face (via webcam or phone camera)
•	Sends the image to a backend API that connects to a neural network
•	Receives predicted personality traits
•	Stores results in a PostgreSQL database
•	Displays results to the user in a clean, intuitive UI
•	Provides life advice using database content and LLM API / prompts.

Developer Requirements
We’re looking for a developer who can:
•	Build both the frontend and backend
•	Set up and manage a PostgreSQL database 
•	Integrate with a neural network via API (we will provide endpoint specs)
•	Deliver a clean, mobile-first responsive design (HTML/CSS or framework)
•	Ensure good security practices (input validation, CORS, etc.)

Core Features to Implement
Frontend (Mobile First)
•	Responsive layout (HTML/CSS/JS or framework like React/Vue)
•	Webcam/camera access to capture facial image
•	Simple onboarding or input screen
•	Personality result display screen (data visualisation or styled text)
•	Light/dark mode toggle (optional bonus)

Backend (API Layer)
•	API route to send captured image to neural network endpoint (we provide docs)
•	API route to save and fetch results from PostgreSQL
•	User session/token handling (basic, no full auth system required)
•	Serve frontend if full-stack (Node.js, Python FastAPI, or similar)

Database (PostgreSQL) - developer can make recommendations based on optimal design / experience
•	Users table (id, timestamp, IP/device hash, etc.)
•	Results table (user_id, OCEAN scores, time of prediction, raw JSON)
•	Optional: Logging or image metadata table

Tech Stack (suggested, but flexible)
•	Frontend: HTML/CSS/JS, React, or Vue
•	Backend: Node.js (Express), Python (FastAPI), or similar
•	DB: PostgreSQL (hosted locally or cloud e.g. Supabase or RDS)
•	API integration: RESTful or GraphQL
•	Deployment: cloud-based 

Deliverables
•	Working full-stack  app (mobile-optimised)
•	Codebase on GitHub with setup instructions (README)
•	Deployed live demo link (optional, even if local tunnel)
•	PostgreSQL schema and seed script
•	Postman or Swagger doc of API endpoints

Timeline
•	Prototype delivery (static content, drop downs and working navigation): [2 weeks from start]
•	Soft launch - Final version (Full functionality and integration with APIs): [3–4 weeks from start]
•	Post Launch – Updated version (bug fixes based on live feedback [1-2 weeks FTE - part time over 1 month]

How to Apply

Send links to:
•	GitHub or portfolio
•	Examples of responsive  apps or APIs you’ve built
•	Any similar work with facial recognition or ML integrations","web","web","web","application","web","Web Application","React","Next.js","Front-End Development","Tailwind CSS","Web Development","+8","Redux","","","web"
"1 hour ago","Remote Business Systems Analyst (Full-Time – Long-Term Engagement)","https://www.upwork.com/jobs/Remote-Business-Systems-Analyst-Full-Time-Long-Term-Engagement_~021917548446971854799/?referrer_url_path=/nx/search/jobs/","Hourly","Intermediate","Est. time:","More than 6 months, 30+ hrs/week","Responsibilities:

1. Phase 1 – Job Hunting (Until Placement):
   - Actively search and apply for full-time remote Business Systems Analyst roles.
   - Customize resumes, cover letters, and other materials for each .
   - Attend interviews and assessments as needed.
   - Communicate progress regularly and transparently.

2. Phase 2 – Post-Placement (Full-Time Work):
   - Remain in the secured full-time BSA position.
   - Fulfill all employer expectations and responsibilities.
   - Maintain professional standards and performance.


Compensation Structure:

1. Revenue Split Based on Secured Job Salary:
   - If the secured job pays $50,000 CAD annually, the compensation split will be:
     - 90% to us / 10% to you.
   - For every $10,000 CAD increase in annual compensation, your share will increase by 5%, reducing ours accordingly.
     - Example:
       - $60,000 CAD → 85% us / 15% you  
       - $70,000 CAD → 80% us / 20% you  
       - $80,000 CAD → 75% us / 25% you  
       - $90,000 CAD → 70% us / 30% you
       - so on.

2. Job Hunting Bonus:
   - Upon successful placement, you will receive a $200 CAD one-time payout, provided from our share, along with your first month’s payout. This is a bonus for your efforts during the job search phase and will not impact your long-term percentage split.


Engagement Terms:
- You’ll be hired through Upwork and paid via the platform.
- You must be comfortable with the compensation model described above.
- Full transparency during the  and job search process is required.","application","application","","","","Web Application","Business Planning & Strategy","Business Analysis","UI/UX Prototyping","Product Documentation","","+10","","","",""
"2 hours ago","Full Stack Developer for","https://www.upwork.com/jobs/Full-Stack-Developer-for-span-class-highlight-Web-span-span-class-highlight-Application-span_~021917536892087959503/?referrer_url_path=/nx/search/jobs/","Fixed price","Intermediate","Est. budget:","$5.00","We are seeking an experienced full stack developer to create a   from scratch. The ideal candidate will have a strong understanding of both front-end and back-end technologies and experience with cloud deployment. We need a end to end   for our startup. Connect with us to get to know full about the project.
You will be responsible for developing robust  applications using MongoDB, Express.js, React.js, and Node.js. A strong understanding of Docker for containerization and deployment processes is essential. The ideal candidate should be able to manage the full software development lifecycle and collaborate effectively with our team. If you are passionate about building high-quality scalable applications, we want to hear from you!","web","application","web","application","web","Web Development","JavaScript","API Integration","CSS","API","Web Application","+2","PHP","AngularJS","Web","Application"
"2 hours ago","Experienced .NET Developer Required","https://www.upwork.com/jobs/Experienced-NET-Developer-Required_~021917536538170662119/?referrer_url_path=/nx/search/jobs/","Fixed price","Intermediate","Est. budget:","$500.00","We are looking for an experienced .NET Software Developer to provide dedicated support to one of our clients. The ideal candidate will have strong technical expertise in the .NET and a passion for problem-solving. This is a remote opportunity, but you must be available to work during Eastern Standard Time (EST) hours.

Responsibilities:
Provide technical support and troubleshooting for a .NET-based .
Collaborate with the client to resolve issues and implement enhancements.
Debug and maintain existing code to ensure optimal performance.
Assist with ongoing development tasks as needed.
Communicate effectively with both technical and non-technical stakeholders.

Requirements:
5+ years of experience with the .NET Core .
Strong knowledge of SQL Server and relational databases.
Familiarity with front-end technologies like Angular or React.
Proven experience in debugging and troubleshooting .NET applications.
Excellent communication and interpersonal skills.

Preferred Skills:
Experience with Azure or other cloud platforms.
Prior experience in a client-facing support role.","application","","","","","Web Development","Microservice",".NET Framework","C#","API","","","ASP.NET MVC","Microsoft SQL Server","",""
"2 hours ago","Build an AI Event Finder ( Scraping, React & Next.js, FastAPI, Supabase, Maps Integration)","https://www.upwork.com/jobs/Build-Event-Finder-span-class-highlight-Web-span-Scraping-React-amp-Next-FastAPI-Supabase-Maps-Integration_~021917535650501408501/?referrer_url_path=/nx/search/jobs/","Fixed price","Entry Level","Est. budget:","$5.00","Hi there! 👋
I’m looking for a full stack AI developer to help launch Consergio, an AI-powered agent that finds awesome events for users. If you love combining  scraping, AI, and cool UIs, this is for you!

What you’ll do:
- Build an AI agent that suggests events users will love
- Scrape event data from  like Ticketmaster and TimeOff (using BeautifulSoup, Scrapy, or Selenium)
- Create a modern frontend (React or Next.js + Tailwind CSS + Shadcn UI)
- Add interactive maps with Mapbox
- Set up a backend (FastAPI or Node.js) and use Supabase/PostgreSQL for the database

Let’s start with a short, paid test! If we click, there’s more work ahead.","web","sites","","","","Web Application","Python","JavaScript","React","Node.js","","+3","API Integration","PostgreSQL Programming","Web",""
"2 hours ago","-Based  Development Using PHP and MySQL","https://www.upwork.com/jobs/span-class-highlight-Web-span-Based-span-class-highlight-Application-span-Development-Using-PHP-and-MySQL_~021917534744012914639/?referrer_url_path=/nx/search/jobs/","Fixed price","Intermediate","Est. budget:","$500.00","We are looking for a skilled developer to keep building an existing -based  utilizing PHP, HTML, CSS, JavaScript, MySQL, and FFMPEG. The ideal candidate should have a strong understanding of  technologies and be capable of integrating multimedia functionalities. You will be responsible for designing the user interface, implementing backend logic, and ensuring database connectivity. This project requires creativity, attention to detail, and excellent problem-solving skills. If you have experience in developing similar applications, we’d love to hear from you!

The first job is to really refine and clean up what has currently been built, there are lots of problems that need fixing. 

also i need someone who can do more than just copy and paste a.i code, the candidate needs real experience with these functionalities 


existing code here
https://github.com/AarnaTechLko/vcom

outline of functionality here
https://docs.google.com/document/d/1JgqKy4gGk24PbJPAUaAiN6SZI6L7XUr04c11wNOQptQ/edit?usp=sharing","web","application","web","","","","PHP","MySQL","MySQL Programming","JavaScript","","","Custom PHP","","Web","Application"
"3 hours ago","C# Consulting Session for Windows App (Creating MSI installer for multi-user environment)","https://www.upwork.com/jobs/Consulting-Session-for-Windows-App-Creating-MSI-installer-for-multi-user-environment_~021917528169655029930/?referrer_url_path=/nx/search/jobs/","Hourly: $30.00 - $150.00","Expert","Est. time:","Less than 1 month, Less than 30 hrs/week","We are looking for an experienced Windows Expert (.NET / C#) expert who can join us in a consulting session to review our installation and help us write a solid installation architecture.

About us:
- Software Agency focusing on  Applications
- Working with SMEs in Germany to Automate Workflows
- Our team consists of experts in many fields, but we don't have much experience with C# / .NET and need guidance

About the 
- The  installs a virtual printer on the users PC
- Using that printer, the user can upload files to our  server
- The  features a GUI where the user can modify some upload options

The current challenges:

Installation in Multi-User Enviornment
- The  is working fine on a single user test environment
- However, our customers are logging in with different users to the same PC. Each user shall be able to use the , but have their own config being applied.

Responsive UI
- The GUI is built with Windows Forms, which doesn't allow re-scaling and can cut off content when on small devices. We need guidance how to solve that.","Web","application","application","web","application","Application Installer","C#","Microsoft Windows",".NET Framework","Windows App Development","","","Microsoft Visual Studio","","","application"
"3 hours ago","and Mobile App Development for Accident and Safety Management","https://www.upwork.com/jobs/span-class-highlight-Web-span-and-Mobile-App-Development-for-Accident-and-Safety-Management_~021917524954872756976/?referrer_url_path=/nx/search/jobs/","Fixed price","Intermediate","Est. budget:","$3,000.00","We are seeking an experienced developer to create an administrative  platform and a user-friendly mobile  for serious accidents and safety management. The   will allow administrators to manage incidents, while the mobile app will enable users to report accidents and access safety resources. Our ideal candidate should have a strong background in developing robust applications with a focus on user experience and security. If you have a passion for enhancing safety through technology, we'd love to hear from you!","web","application","web","application","","Web Development","Android","JavaScript","iOS","User Authentication","","","","","Web",""
"3 hours ago","Home Page Redesign for","https://www.upwork.com/jobs/Home-Page-Redesign-for-span-class-highlight-Website-span_~021917524803629875151/?referrer_url_path=/nx/search/jobs/","Hourly","Intermediate","Est. time:","1 to 3 months, Less than 30 hrs/week","We are seeking a talented  designer to redesign the home page of our existing . 

https://mailtimers.com/

The goal is to make a more modern design of the SAAS  for email marketing, upon request I can send examples of  that I like.","web","website","application","sites","","Web Design","UX & UI","Graphic Design","","","","","","","Website",""
"3 hours ago","Developer Needed for Small  App Development","https://www.upwork.com/jobs/span-class-highlight-Web-span-Developer-Needed-for-Small-span-class-highlight-Web-span-App-Development_~021917524728688319719/?referrer_url_path=/nx/search/jobs/","Hourly: $5.00 - $15.00","Intermediate","Est. time:","Less than 1 month, 30+ hrs/week","We are seeking a skilled  developer to create a small   focusing on user login and account management functionalities. The ideal candidate should be adept at building secure and user-friendly applications that can handle user authentication and account features. Strong attention to detail and good communication skills are essential for this project. If you have experience with modern  technologies and can deliver a high-quality , we’d love to hear from you!","web","web","application","web","application","Web Development","JavaScript","WordPress","HTML","PHP","","","","","Web","Web"
