"text-light 2","air3-link","air3-link href","job-tile-info-list","job-tile-info-list 2","mr-1","job-tile-info-list 3","mb-0","highlight-color","air3-token","air3-token 2","air3-token 3","air3-token 4","highlight","air3-token 5","air3-token 6","highlight 2","air3-token 10"
"35 minutes ago","E-Learning Automation System Development","https://www.upwork.com/jobs/Learning-Automation-System-Development_~021917516078821979893/?referrer_url_path=/nx/search/jobs/","Hourly","Intermediate","Est. time:","1 to 3 months, Less than 30 hrs/week","We are seeking an experienced developer to create an e-learning automation system that enhances the teaching-learning experience. This project will focus on integrating essential functionalities for administrative efficiency, including enrollment management, grading systems, and communication tools. The ideal candidate should have a strong background in e-learning technologies and automation processes. If you are passionate about improving educational systems through technology, we would love to hear from you!","Python","JavaScript","PHP","HTML5","API","","","","",""
"37 minutes ago","Real estate crm and and mobil app","https://www.upwork.com/jobs/Real-estate-crm-and-and-mobil-app_~021917515484371000551/?referrer_url_path=/nx/search/jobs/","Hourly","Expert","Est. time:","More than 6 months, 30+ hrs/week","Teknik Gereksinimler
Ön Yüz: Tutarlı kullanıcı deneyimi için React.js (web), React Native veya Flutter (mobil).
Arka Yüz: Ölçeklenebilir API’ler için Node.js,  (Django/Flask) veya benzer çerçeveler; veritabanı ve kimlik doğrulama için Supabase veya Firebase.
Veritabanı: Yapılandırılmış ve esnek veri depolama için PostgreSQL veya MongoDB.
AI/ML: Eşleştirme ve analitik için  tabanlı AI modelleri (örneğin, TensorFlow, PyTorch); NLP kütüphaneleri (örneğin, spaCy, Hugging Face).
Bulut Altyapısı: Barındırma için AWS, Google Cloud veya Azure, ölçeklenebilirlik ve güvenlik özellikleriyle.
API’ler: Web, mobil ve üçüncü taraf hizmetler arasında sorunsuz iletişim için RESTful veya GraphQL API’ler.
Güvenlik: Kimlik doğrulama için OAuth 2.0, veri aktarımı için HTTPS ve GDPR/CCPA uyumluluğu.
Sürüm Kontrolü: İşbirlikçi geliştirme için Git (GitHub/GitLab).
Proje Aşamaları
Planlama ve Tasarım (2-4 hafta):
Gereksinim toplama ve tel çerçeve oluşturma.
Web ve mobil uygulamalar için UI/UX tasarımı.
Teknoloji yığını ve mimariyi kesinleştirme.
Geliştirme (12-16 hafta):
Arka yüz geliştirme (API’ler, veritabanı, AI modelleri).
Ön yüz geliştirme (web ve mobil uygulamalar).
Üçüncü taraf hizmetlerle entegrasyon (telefon, portallar, pazarlama araçları).
Test ve Kalite Güvencesi (4-6 hafta):
Birim, entegrasyon ve kullanıcı kabul testleri.
Güvenlik ve performans testleri.
Dağıtım ve Bakım (Devam Eden):
Üretim sunucularına dağıtım.
Lansmandan sonra 3 ay boyunca hata düzeltmeleri ve güncellemeler için destek.
Ekip/Rol Gereksinimleri
Aşağıdaki alanlarda uzmanlığa sahip profesyoneller arıyoruz:

Tam Yığın Geliştirici: React, Node.js ve veritabanı yönetimi deneyimi.
Mobil Uygulama Geliştirici: iOS/Android uygulamaları için React Native veya Flutter konusunda yetkinlik.
AI/ML Mühendisi: Öneri sistemleri ve NLP için AI modelleri oluşturma konusunda uzmanlık.
UI/UX Tasarımcısı: Web ve mobil için sezgisel, duyarlı tasarımlar oluşturma yeteneği.
DevOps Mühendisi: AWS/Azure gibi bulut altyapısı ve CI/CD boru hatları bilgisi.
Proje Yöneticisi: Görevleri, zaman çizelgelerini ve iletişimi koordine etmek.
Bütçe ve Zaman Çizelgesi
Bütçe: Tekliflere bağlı olarak esnek. Lütfen geliştirme, test ve bakım için ayrıntılı maliyet dökümü sağlayın.
Zaman Çizelgesi: Tam geliştirme ve dağıtım için yaklaşık 6-8 ay.
Ödeme Koşulları: Proje aşamalarına bağlı kilometre taşı ödemeleri (örneğin, tasarım sonrası %20, arka yüz sonrası %30 vb.).
Teklif Gereksinimleri
Lütfen ayrıntılı bir teklif sunun ve şunları ekleyin:

Benzer emlak veya CRM platformlarıyla deneyiminiz.
Geliştirdiğiniz web ve mobil uygulamaların örnekleri (tercihen AI entegrasyonlu).
Önerdiğiniz teknoloji yığını ve geliştirme yaklaşımı.
Tahmini zaman çizelgesi ve maliyet dökümü.
Veri gizliliği ve güvenliğini nasıl sağladığınıza dair detaylar.
Kullanılabilirlik ve ekip bileşimi (ekip olarak başvuruyorsanız).
Ek Notlar
Platform, kullanıcı deneyimi, ölçeklenebilirlik ve veri güvenliğine öncelik vermelidir.
Net iletişim ve düzenli ilerleme güncellemelerini (örneğin, haftalık raporlar) değerli buluyoruz.
Emlak veya SaaS platformlarında deneyimi olan geliştiricilere öncelik verilir.
Tüm kod ve teslimatlar, tamamlandıktan sonra ekibimize iyi belgelenmiş ve devredilebilir olmalıdır.
İletişim
Lütfen tekliflerinizi Upwork üzerinden gönderin veya herhangi bir açıklama için bizimle [e-posta adresiniz] adresinden iletişime geçin. Bu yenilikçi emlak platformunu hayata geçirmek için yetkin bir ekiple işbirliği yapmayı sabırsızlıkla bekliyoruz!","","React Native","React","Flutter","Azure Cosmos DB","Python","Native App Development","Hybrid App Development","Python","+3"
"44 minutes ago","ClickUp Specialist - AI, slack, Calendar integration","https://www.upwork.com/jobs/ClickUp-Specialist-slack-Calendar-integration_~021917513616685840117/?referrer_url_path=/nx/search/jobs/","Hourly","Entry Level","Est. time:","1 to 3 months, Less than 30 hrs/week","Hello!

Looking to hire a freelancer that is very skilled with ClickUp. 

I need to have tasks ideally using AI based on priorities - Automatically upload into our team google calendar, based on assign for the task.  

Example here 

https://www.youtube.com/watch?v=F34JB6JFyTk

I believe notion does this, however ideally I don't need to switch. 

Also help clean up our existing structures, create pipelines with automation task triggers and assigning roles.","","ClickUp","API","Slack","API Integration","","","","",""
"51 minutes ago","Seeking Expert to Co-Design & Build Automation System (N8N Preferred)","https://www.upwork.com/jobs/Seeking-Expert-Design-Build-Automation-System-N8N-Preferred_~021917511956405145770/?referrer_url_path=/nx/search/jobs/","Hourly: $15.00 - $45.00","Expert","Est. time:","More than 6 months, Less than 30 hrs/week","NOTE: open attached PDF for better readability. 100% AI-generated proposals / messages will be ignored (-:

###

Seeking Expert Partner to Co-Design & Build Marketing Automation System (N8N Preferred)

Project Description
About REPLY42: We are a marketing agency delivering measurable results for mid-sized businesses through our data-driven TACO strategy (Technical Foundation, Advanced SEO, Customized Content, Optimized Promotion).
Our Vision: We aim to build a comprehensive, intelligent automation system for our entire TACO workflow. This system will leverage workflow automation (N8N preferred), databases, AI, and various APIs to productize our services, significantly boost efficiency, ensure consistent quality, and free up our team for high-value strategic tasks.

The Opportunity: We are seeking an experienced Automation & System Design Expert to partner with us in this exciting initiative. We aren't looking for someone to simply execute a predefined plan; we want a strategic partner to collaboratively design the optimal system architecture and select the best-fit technology stack (database, workflow engine, integrations) alongside our founder and an AI Project Manager. Your expertise will be crucial in shaping a robust, scalable, and maintainable solution.

First Step (MVP): The initial engagement will focus on jointly planning and implementing the core client onboarding process. This includes automating data capture from forms, enriching data through automated research/scraping, storing information in the collaboratively defined database, and setting up initial project structures (e.g., in Slack).

Long-Term Partnership: Successful collaboration on the MVP offers a strong potential for a long-term partnership, extending the automation across all four TACO pillars.

The Challenge
We need to design and implement a scalable, robust, and maintainable automation platform that can handle the complexities of our multi-faceted TACO marketing service delivery. The core challenge lies in designing a highly intelligent system of interacting N8N agents. This involves integrating various data sources, orchestrating complex workflows, leveraging AI capabilities, and providing seamless interfaces for our team (primarily via Slack and our PM tool). A key component is the efficient and standardized connection of these agents to tools and data, for which demonstrable experience with protocols such as MCP (Model Context Protocol) or established equivalents is mandatory.

Your Role
As our Automation & System Design Expert, you will:
Work in close collaboration with our founder and an AI Project Manager.
Lead the process of defining the optimal system architecture based on our goals and constraints.
Evaluate and select the core technology stack (database technology, workflow engine, specific APIs/tools), providing clear justifications for your recommendations. While we have a strong preference for N8N as the workflow engine due to its flexibility and self-hosting capabilities, we are open to compelling arguments for alternatives.
Co-design and then implement the initial MVP, focusing on the client onboarding process.
Plan the roadmap for automating subsequent modules across the TACO pillars.
Ensure the solution is well-documented, maintainable, and scalable.

Required Core Competencies
We are looking for an expert with proven experience in:
System Architecture & Design: Designing complex, scalable automation or backend systems.

Deep, Demonstrable Expertise in N8N: Proven ability to design, build, and orchestrate complex systems using interacting N8N agents (Agent Node, Think Tool, etc.). Showcase projects where you successfully managed agent coordination and complex workflow logic within N8N. While N8N is strongly preferred, expertise in comparable enterprise-grade tools (Make, Zapier, Workato) is acceptable only if coupled with a strong justification and the ability to apply agent-based system design principles.

Mandatory: Proven Hands-On Experience with MCP or Equivalents: Demonstrable, practical experience implementing Model Context Protocol (MCP) or equivalent robust, established standards for providing AI agents consistent and efficient access to tools, services, and data. Theoretical knowledge is insufficient; describe specific projects where you have successfully implemented such mechanisms.

Database Technologies: Experience with various database types (SQL required, NoSQL beneficial). Ability to evaluate, select, design schemas for, and manage the appropriate database solution for the project needs (e.g., PostgreSQL, MySQL, MongoDB).

API Integration: Extensive experience integrating diverse third-party APIs (REST, GraphQL) and handling authentication, rate limits, and errors effectively.

Technology Evaluation: Ability to research, compare, and justify technology choices based on technical and business requirements.

Collaborative Problem Solving: Ability to work effectively in a team, discuss trade-offs, and contribute to a shared vision.

Clear Communication & Documentation: Fluency in English and the ability to document designs and processes clearly.
(Refer to our internal profile for more detailed desirable skills like specific API experience - Slack, PM tools, Scraping, AI, SEO tools, Form builders - and soft skills)

First Focus: Onboarding MVP
The initial project phase will concentrate on designing and implementing the client onboarding workflow. Key elements include:
Connecting to our form builder (e.g., Formaloo) to capture initial client data.
Implementing automated research/data enrichment steps (e.g., web scraping, API lookups).
Designing and setting up the chosen database to store client, project, and scraped data.
Creating initial project setup automation (e.g., creating Slack channels, potentially PM tool projects).
Establishing robust error handling and logging for the workflow.
What We Expect in Your Application
Please provide the following in your proposal:
Introduction: Briefly introduce yourself or your agency.
Relevant Experience: Detail your specific experience with workflow automation (especially N8N or similar), database design/selection, system architecture, and API integration. Highlight projects where you played a key design and conceptualization role, not just implementation.

Portfolio/Case Studies: Share examples of 2-3 relevant projects you have successfully completed. Focus on the problem, your solution design, the technologies used, and the outcome.

CRUCIAL - N8N Agent & MCP/Equivalent Demonstration: Provide a detailed description and demonstration (e.g., video link, live demo access if possible, or detailed case study) of at least one project where you successfully implemented both interacting N8N agents AND utilized MCP or an equivalent standard for agent tool/data access. This is a critical requirement for consideration.

Your Approach: Briefly outline your preferred methodology or approach for tackling a project like this, emphasizing the collaborative design phase.

Initial Questions/Discussion Points: What key questions would you ask us in an initial discussion to better understand the requirements and start formulating potential solutions? (This helps us gauge your strategic thinking).

Availability: Confirm your general availability, particularly for collaboration during European business hours (CET).

Rate: Please provide your hourly rate or project estimate approach.

We are excited to find a talented expert to partner with us on building this transformative system!","","n8n","JavaScript","API Integration","JSON","","","","",""
"1 hour ago","Custom Dashboard Development with Next.js & FastAPI","https://www.upwork.com/jobs/Custom-Dashboard-Development-with-Next-FastAPI_~021917508862429011175/?referrer_url_path=/nx/search/jobs/","Hourly: $15.00 - $50.00","Intermediate","Est. time:","1 to 3 months, Hours to be determined","We are building a proprietary platform to centralize our advertising data, manage leads, and automate marketing actions. Our goal is to replace tools like Google Sheets and Zapier with a fully custom solution that gives us better control, performance, and scalability.

We are looking for a reliable, experienced developer or team to work step-by-step with us on this project. You’ll help us integrate advertising data (Meta Ads, Google Ads, and possibly TikTok/Klaviyo), create a smart CRM to track and manage leads, and build dashboards to visualize results in real time.

🔧 Tech stack
Frontend: Next.js (React)

Backend: FastAPI ()

Database (initial phase): Google Sheets (will be replaced)

Integrations: Meta Ads API, Google Ads API, Klaviyo, TikTok Ads, etc.

Other tools: Ngrok, Facebook Login / OAuth, REST APIs

✅ Tasks and goals
Set up API connections to import advertising data

Store and organize data in Google Sheets or other formats (to be replaced with a database)

Build a dashboard to visualize performance metrics (ROAS, CTR, CPL, etc.)

Create a lightweight CRM to manage leads

Automate lead follow-ups and notifications

Implement auth, roles, and permissions

💡 What we’re looking for
Strong experience with Next.js and FastAPI

Familiarity with ads APIs (especially Meta, Google, TikTok)

Experience in building dashboards and data pipelines

Ability to write clean, modular, and well-documented code

Bonus: understanding of digital marketing, CRM logic, and funnel-based lead nurturing

📍 How we work
We work async with regular updates and shared project management

We prefer proactive developers who can contribute ideas and help us scale

Initial project scope: ~4–6 weeks, with potential for long-term collaboration

📬 How to apply
Please include:

Your portfolio or relevant examples (especially involving APIs or marketing tools)

Any experience with ads APIs or similar integrations

Your availability (hours/week)

Your preferred rate (hourly or per milestone)

We’re looking for someone who can become a key technical partner in this project, not just a task executor. If you’re excited about building tools that empower data-driven marketing, let’s talk!","","JavaScript","React","Node.js","CSS","Python","HTML","","",""
"1 hour ago","Script Development for Golf Simulator Access Control","https://www.upwork.com/jobs/Script-Development-for-Golf-Simulator-Access-Control_~021917508765596766378/?referrer_url_path=/nx/search/jobs/","Fixed price","Intermediate","Est. budget:","$250.00","We are seeking a skilled programmer to create a Windows-based script or program for our golf simulator business. The primary function of this script will be to manage customer access by controlling the display screen, using a timer to automatically turn the screen on and off, and displaying an overlay of time remaining on game screen when less than 5 minutes of game time remain. The script or program must be controllable from the reception computer or a website, and we need to be able to add or reduce game time as needed. The script or program must be capable of controlling up to 8 computers (but it would be best there is no limit). This tool will improve user experience and operational efficiency. Ideal candidates should have a solid understanding of programming logic and timer functionalities in software development.","Python","JavaScript","PHP","Java","Microsoft SQL Server","","","","",""
"1 hour ago","C Programming Tutor for Hungry Monkey Game Development","https://www.upwork.com/jobs/Programming-Tutor-for-Hungry-Monkey-Game-Development_~021917508249399281771/?referrer_url_path=/nx/search/jobs/","Fixed price","Intermediate","Est. budget:","$40.00","We are seeking an experienced tutor to help us learn and navigate the Hungry Monkey game sample using C programming. The ideal candidate will guide us through the Matrix game screen, explaining key concepts and assisting with practical implementation. A strong understanding of C programming and game development principles is essential. If you have a passion for teaching and a knack for making complex topics easy to understand, we would love to hear from you!","Python","C#","C++","C","Game Development","","","","",""
"1 hour ago","Technical Architect to Plan Serverless API & DB for Arabic Learning Platform","https://www.upwork.com/jobs/Technical-Architect-Plan-Serverless-API-for-Arabic-Learning-Platform_~021917505094469550031/?referrer_url_path=/nx/search/jobs/","Hourly: $20.00 - $35.00","Intermediate","Est. time:","Less than 1 month, Less than 30 hrs/week","We are building AlifBee YDS, a platform to help Turkish speakers prepare for the Arabic YDS national exam through skill-based quizzes, a dictionary feature, and performance tracking.

The frontend will be built in Bubble.io (UI/UX design is complete).

We are now preparing the backend and looking for an experienced technical architect to define the system before development begins.

Scope of Work:

This is a short-term, high-impact engagement (approx. 10–20 hours). You will be responsible for:

- Analyzing the provided feature requirements and UI designs
- Proposing a clean, secure backend architecture using a serverless-friendly, -compatible approach
- Designing a normalized relational database schema (ERD)
- Writing a full REST API specification (with example requests/responses)
- Preparing the initial project structure and documentation to be implemented in FastAPI or Flask
- Recommending hosting, security, and backup strategies aligned with DigitalOcean products

Technical Direction:

- From our experience, we are intentionally avoiding complex infrastructure and manual server management. Our backend should prioritize:
- A serverless-first deployment model (DigitalOcean Functions)
- A managed PostgreSQL or MySQL database with built-in backups
- API integration with Bubble.io (no frontend work required)
- Full compatibility with -based backend development (FastAPI/Flask preferred)
- Clear GitHub-based handoff to the developer building the actual system

Deliverables:

- Database ERD (diagram and SQL schema)
- REST API specification document
- Recommended hosting stack (within DigitalOcean)
- GitHub repository with:
- Swagger/OpenAPI or Postman documentation

Requirements

- Strong experience architecting backend systems for education or CMS-style platforms
- Familiar with  backend frameworks (FastAPI, Flask)
- Experience with DigitalOcean and serverless deployment strategies
- Able to document systems clearly and hand off to development teams","Python","Solution Architecture Consultation","Education","RESTful Architecture","Implementation","Python","","","Python","+4"
"1 hour ago","Developer, 
Finalizing MVP for Data Analytics Platform","https://www.upwork.com/jobs/span-class-highlight-Python-span-Developer-Finalizing-MVP-for-Data-Analytics-Platform_~021917504645715506933/?referrer_url_path=/nx/search/jobs/","Hourly","Expert","Est. time:","1 to 3 months, Less than 30 hrs/week","Developer, Finalizing MVP for Data Analytics Platform 

 

Project Description 
We are looking for an experienced  developer to finalize the MVP of a data analytics platform. The platform integrates structured datasets, generates dashboards, and produces downloadable reports. Tasks include code cleanup, bug fixing, performance optimization, UI/UX improvements, API integration (pulling data and/or linking to an existing database), and enabling flexible Excel file uploads via drag-and-drop. 

 

Responsibilities 

Review and refactor the existing MVP code for clarity, maintainability, and performance. 

Organize the project into a scalable, modular structure with clean folder organization. 

Fix bugs and ensure stable operation across key features. 

Implement frontend improvements to enhance UI/UX for a clean, professional user experience. 

Optimize performance, especially when handling moderate to large datasets. 

Enable dynamic generation and download of reports (e.g., Excel, PDF, PowerPoint). 

Integrate external APIs to pull data or connect to existing databases as needed. 

Implement drag-and-drop Excel upload functionality with smooth data parsing and integration. 

(Optional) Provide guidance on scalability, security, and deployment best practices. 

 

Required Skills 

Advanced  programming skills. 

Experience with Streamlit, Dash, or similar -based dashboard frameworks. 

Strong understanding of SQL and database integration. 

Experience in professional code structuring and clean architecture principles. 

Familiarity with handling sensitive or business-critical data. 

Ability to work independently and deliver high-quality results on time. 

 

Project Details 

Project duration: 4–6 weeks (depending on availability). 

Remote work, flexible hours. 

Clear deliverables with potential for ongoing collaboration after successful MVP finalization. 

 

Application Instructions 
To apply, please provide: 

A brief summary of your relevant experience. 

Examples of past projects (GitHub link, portfolio, or similar). 

Your expected availability and hourly or project rate. 

(Optional) Any initial thoughts on structuring or improving a -based analytics dashboard.","Python","Dashboard","Predictive Model","Data Visualization","API","Python","Database Architecture","UI/UX Prototyping","Python","+2"
"1 hour ago","Outbound call with Moroccan Arabic Darija using vapi.ai or any other platform or model","https://www.upwork.com/jobs/Outbound-call-with-Moroccan-Arabic-Darija-using-vapi-any-other-platform-model_~021917503402191789287/?referrer_url_path=/nx/search/jobs/","Hourly: $20.00 - $30.00","Expert","Est. time:","Less than 1 month, Less than 30 hrs/week","I'm looking for an expert to build an Outbound call solution with Arabic Moroccan darija. We can use vapi.ai or any other solution. 

Or building our model with Twilio or any other provider that allows Moroccan phone numbers.

Looking for an expert with a ready solution to be launched tomorrow.","Python","Natural Language Processing","VoIP PBX","AI Speech-to-Text","","","","","",""
"1 hour ago","Experienced Web Data Extraction Expert Needed for  Scraping (~8M Records)","https://www.upwork.com/jobs/Experienced-Web-Data-Extraction-Expert-Needed-for-Scraping-Records_~021917500881285723893/?referrer_url_path=/nx/search/jobs/","Hourly","Intermediate","Est. time:","Less than 1 month, Less than 30 hrs/week","I'm seeking a highly experienced web data extraction specialist for a large-scale project involving the collection of approximately 8 million data records (each is a single line item laid out like a sheet) from a free member account accessible website. 

The dataset spans around 40,000 unique pages and must be extracted in a structured and reliable format.

Due to the nature of the site, advanced anti-bot and anti-scraping measures are likely in place. You will need to use multiple accounts, rotating proxies, and user-agent rotation to successfully extract the data without interruptions or bans.


Key Requirements:
-Proven experience with high-volume data scraping
-Familiarity with circumventing rate limits, CAPTCHAs, and IP bans
-Ability to rotate IPs, use proxy pools and manage session cookies
-Strong scripting skills
-Extraction output must be delivered as a CSV file


To apply, please include:
-A short summary of relevant projects
-Tools and approach you would use
-Your estimated pricing range (minimum to maximum) for the full job
-Your expected timeline

Please only apply if you have a profile with jobs of similar nature and a 90%+ success rate.","Python","Data Scraping","Data Mining","","","","","","",""
"1 hour ago","Data Extraction from County GIS Systems","https://www.upwork.com/jobs/Data-Extraction-from-County-GIS-Systems_~021917500444945153999/?referrer_url_path=/nx/search/jobs/","Hourly: $10.00 - $20.00","Intermediate","Est. time:","1 to 3 months, Less than 30 hrs/week","We are seeking a detail-oriented freelancer to extract property data from county GIS systems. The ideal candidate will be responsible for organizing and categorizing the data based on specific parameters to ensure accuracy and accessibility. Familiarity with GIS platforms and experience in data management is essential. This role requires a proactive approach and excellent attention to detail to effectively compile and analyze the information. If you have a passion for data organization and a strong understanding of GIS systems, we want to hear from you!","Python","Data Mining","Data Entry","GIS","Data Scraping","","ArcGIS","GIS Software","",""
"1 hour ago","AI Agent Developer for n8n + Supabase Integration","https://www.upwork.com/jobs/Agent-Developer-for-n8n-Supabase-Integration_~021917499863140663247/?referrer_url_path=/nx/search/jobs/","Hourly: $20.00 - $50.00","Expert","Est. time:","More than 6 months, Less than 30 hrs/week","We are seeking an experienced AI Agent Developer to join our team for a long-term project focused on integrating n8n with Supabase. The ideal candidate will design and implement efficient workflows, ensuring seamless communication between tools and services. A strong understanding of AI principles, along with proficiency in n8n and Supabase, is essential. You will be responsible for developing automated solutions that enhance our operational efficiency. If you are passionate about AI and automation, we want to hear from you!","","AI Agent Development","AI Development","Artificial Intelligence","API Integration","","n8n","Supabase","",""
